x1;x2;x3;y
5,7179;6,3838;5,1242;1
9,0198;7,8818;7,97;2
1,9058;7,7762;5,6286;1
4,7085;8,7172;6,3944;1
9,6162;2,8815;8,27;1
7,3685;2,2759;0,1038;1
8,6596;7,2235;7,6035;2
4,5503;9,8817;9,2326;1
7,3654;5,656;3,4732;1
2,4476;3,2843;3,1571;0
4,4568;0,4045;2,8434;0
5,5044;6,0174;6,1958;2
6,8501;3,8508;5,4824;1
4,7161;2,7942;11,2316;2
5,7267;4,3693;6,4607;1
10,7238;8,3842;8,8928;2
4,4595;6,8535;4,0907;1
7,1915;4,3688;6,9038;1
4,5031;7,2963;3,053;1
3,6726;3,2284;3,8698;0
6,4718;0,2764;5,9352;2
2,651;3,9846;5,6513;1
3,7519;6,2265;4,9827;1
10,016;6,8144;5,0485;2
5,8212;1,4772;0,0345;0
8,5459;11,1932;6,4759;2
4,3811;2,602;2,5899;1
9,4083;5,7218;2,6085;2
-0,3559;2,3052;3,9326;0
11,1885;5,4357;5,7431;2
6,7041;5,0995;6,3;1
9,4657;6,4062;8,6302;2
4,6191;3,1139;1,9656;1
2,8021;5,558;0,6105;0
6,6365;5,4954;2,2606;0
2,6208;6,4693;-1,0764;0
14,8986;7,0646;10,9376;2
8,2381;7,3167;1,5197;0
3,5108;2,943;6,3982;0
8,139;5,3268;3,9554;1
5,6742;7,4291;8,3552;2
9,0435;5,0346;7,8462;2
4,966;1,2519;-0,2724;1
3,3105;8,337;6,3654;1
2,9688;14,3646;9,9148;2
4,877;5,4898;6,2114;2
0,6762;-1,6505;1,5112;0
4,089;-1,1482;6,1725;0
7,9924;9,9609;5,0122;2
4,6529;1,8468;8,5829;0
7,718;7,4625;13,0321;2
4,8913;7,7781;3,0413;1
4,5153;4,4084;4,3034;1
8,2239;3,0744;6,4943;1
8,4539;8,519;3,8195;1
5,3405;6,052;5,9355;2
6,8746;4,5011;2,5431;1
2,3076;0,4391;-0,8694;0
4,0133;3,3965;6,7848;0
4,413;5,1108;4,6924;1
0,5381;3,8069;9,7743;2
4,4861;4,8026;-0,6199;0
4,2646;3,1883;4,6932;0
5,1121;2,1906;3,0281;0
0,84;4,3409;1,1223;0
3,2005;2,9561;1,0044;0
12,7848;1,522;11,039;2
3,6139;8,9483;6,6563;2
6,0934;6,044;3,2914;1
1,7289;3,8183;1,4403;1
7,8612;2,4009;6,3321;2
4,2462;5,0043;2,707;1
-0,2014;2,9781;1,2066;0
2,3438;-0,9938;-0,7157;0
2,7659;5,6603;-0,5872;0
5,9491;2,7913;6,9928;0
2,5201;3,7347;3,7937;0
11,1897;6,4116;0,6046;2
4,1437;4,0272;5,8314;1
7,3477;4,9606;6,1653;1
2,8443;3,1742;5,8769;1
4,669;8,9948;6,8482;1
9,1683;7,8602;8,0916;1
3,3014;4,2562;7,8434;1
5,1206;9,8941;6,8182;2
1,5234;4,9368;1,6376;1
1,13;6,0278;3,7315;0
4,8348;-0,2551;4,6563;0
7,0183;9,0345;7,5758;2
0,7895;4,1753;3,9546;0
6,0263;4,8643;7,9187;1
8,5207;7,1021;5,7807;2
-0,7079;4,6352;2,9674;0
6,1638;4,9529;4,5499;0
5,7359;2,4844;-0,4005;1
6,2508;2,0277;2,7445;1
0,411;1,3533;9,8109;1
6,0681;6,1933;8,4986;1
2,2709;3,8648;1,5453;0
6,9551;4,8828;7,4779;1
8,0059;5,6293;7,7658;1
6,5681;3,1279;7,1179;2
3,9184;8,2122;11,3183;1
3,073;6,5383;9,8072;2
-0,6821;3,0732;8,0941;1
8,5672;0,971;2,7604;1
13,6675;5,4408;5,385;2
10,1185;7,8536;8,7834;1
6,7328;0,6106;1,6517;0
3,1793;4,7313;4,0424;2
5,9827;4,3832;0,8287;0
8,0951;3,8314;3,1634;0
9,1394;4,9021;5,1083;2
7,7797;0,3093;-3,9239;1
7,1444;1,9815;2,4059;1
2,0714;6,5617;6,1705;0
6,4381;3,019;1,1882;1
3,8985;-1,2966;-1,5586;0
7,9568;6,4616;4,5297;2
10,4273;10,8063;3,715;2
4,4289;4,4683;1,3653;1
5,1041;2,2299;-1,5998;0
1,9529;-1,8455;4,6043;0
-1,1467;4,5881;1,2834;0
6,848;2,8123;8,0397;1
1,7209;1,5323;4,6443;1
7,3045;5,4216;8,4698;2
1,7212;5,0014;1,6888;1
6,4021;3,5434;4,172;1
5,1702;7,8123;2,2384;1
8,8248;2,6306;11,895;2
3,6938;7,7406;1,3099;1
11,5595;5,4457;8,7026;2
4,7737;5,3718;6,9425;1
0,3434;3,597;-0,3014;1
5,9728;2,5505;4,6316;1
3,5016;10,4646;9,9223;2
0,9439;0,7759;4,1398;0
6,7304;4,5064;5,1829;1
6,8333;6,2533;5,034;2
5,8001;5,9959;2,176;1
5,3732;2,369;1,0575;1
7,6267;7,6161;5,5452;2
6,1379;2,7712;1,1576;1
4,0323;5,7743;5,9913;1
3,0844;2,1938;7,2071;1
2,2079;3,8627;9,2404;1
5,5844;5,5581;6,6889;2
4,9878;7,7519;1,8471;1
7,5165;4,9936;8,7334;2
5,2331;8,0084;5,1976;2
0,2787;3,0988;0,0365;0
7,3315;7,5788;2,1966;2
2,5227;5,4148;5,0252;1
3,9037;7,8114;2,2063;2
4,9841;8,8606;2,1337;2
2,7983;1,8656;3,589;1
8,4826;3,6225;10,3818;2
7,18;4,7977;9,6842;2
3,276;6,946;4,5914;1
10,2066;4,8562;6,2535;2
8,1282;5,1755;6,7938;2
4,7652;-0,8967;6,7286;0
6,798;0,239;4,0683;0
6,0095;4,3342;5,0226;0
2,9199;-0,4913;0,318;0
7,4659;8,2855;4,3903;1
7,5113;2,6863;5,4044;1
2,9091;1,4133;6,1236;1
1,3242;5,3759;5,2356;2
1,4519;6,6232;6,8864;0
1,2298;9,2478;4,0033;1
3,4166;-0,2204;2,6681;0
5,0376;7,5202;4,183;2
8,532;4,9418;3,2844;0
8,009;7,5013;0,9421;2
6,7153;5,637;10,9898;2
5,2094;3,3277;4,9387;0
1,8756;0,6506;2,1696;1
2,3897;8,2798;9,807;2
7,7794;8,5763;8,0251;2
2,7056;7,9556;5,3951;2
3,1803;6,9061;8,6498;1
3,6398;6,3241;5,8487;0
7,0787;10,5873;8,3117;2
5,637;5,7807;3,7263;1
8,6142;8,6688;11,498;2
9,8795;7,3666;7,3502;1
7,288;2,4345;3,8355;1
0,6875;2,913;2,4667;0
7,0853;6,5346;11,893;2
8,1793;3,4932;1,8134;0
10,0875;3,6939;4,2355;2
5,552;4,5308;0,6354;1
8,2428;3,763;5,2121;1
3,3737;9,7547;8,5961;2
0,6575;4,4825;8,5215;0
0,797;0,7469;1,4506;0
-1,2456;6,0258;2,2733;0
7,9138;8,5494;6,6489;2
8,8635;4,8523;4,9062;1
4,7872;6,6239;7,9093;1
-1,5096;-0,9034;3,8807;0
7,037;5,5539;6,5157;1
3,9524;7,4357;7,7734;0
6,7877;8,1389;5,7084;2
5,4152;5,2983;6,5709;2
4,219;5,532;4,6718;0
9,148;6,4927;3,8591;1
7,0364;7,9038;7,9814;2
5,4853;6,973;10,8258;2
0,9452;7,7669;3,4386;0
3,8177;8,0148;7,8132;2
9,3653;7,5014;3,4214;1
4,4138;8,052;5,0498;1
1,7398;5,8049;5,2254;0
5,08;1,6921;5,7708;1
1,7823;9,8515;5,9865;1
-0,8346;2,3902;1,8168;0
10,828;11,0516;3,761;2
1,7906;5,1807;5,886;1
7,912;4,4423;8,0947;1
6,7216;7,416;13,2301;2
5,4107;4,9642;4,7435;1
2,8879;4,3013;11,3973;2
3,9743;3,5584;6,7436;1
6,4534;2,1326;7,1754;2
4,9226;5,5279;9,0614;2
6,4183;5,9085;6,4885;1
3,9682;0,1695;10,2237;1
6,3018;4,8079;4,4154;1
8,2867;10,9691;6,4564;2
4,0105;4,5146;3,7777;0
3,7482;0,9219;0,2157;0
6,791;2,8924;9,5019;1
4,5127;2,5445;-1,8011;1
3,6795;4,3982;1,9588;1
4,5415;3,7619;4,652;0
3,6149;0,9321;5,1528;0
0,9181;4,3234;2,2521;0
4,2398;-1,7795;1,9708;0
7,2492;11,3876;8,923;2
5,4243;2,3944;9,2039;0
2,3085;4,4689;5,6604;0
5,3381;0,806;2,8853;0
-3,2309;0,9085;1,9167;0
7,6829;3,2664;4,2262;1
7,1291;7,9668;4,3061;1
8,2573;8,5061;5,5763;2
5,5989;6,2563;8,2974;1
6,9463;1,4643;4,6083;0
7,4992;4,5764;4,2664;1
6,9755;8,7329;7,352;2
7,7794;4,4447;7,8828;2
-1,184;6,0288;4,4861;0
3,4495;2,6798;1,3319;0
5,2327;3,6575;3,8213;0
3,0864;5,2428;4,6541;1
8,485;2,4617;1,5366;0
-1,4754;1,5219;0,789;0
9,6931;7,7721;8,1913;2
3,519;4,2435;7,7193;2
1,7045;5,4459;6,0939;1
5,0261;3,0498;3,5143;1
2,0478;6,5708;8,0283;1
2,4615;0,933;4,5808;0
9,4197;3,6802;5,5132;2
1,5599;4,8459;-2,3762;0
5,4709;7,1992;7,4488;2
9,1977;7,2908;7,8308;2
4,6164;0,7334;2,4259;0
4,4684;9,7348;8,2762;1
5,6051;4,0601;1,9039;0
4,274;2,4646;2,1184;1
5,7484;6,9422;5,942;2
2,5934;4,6237;5,3022;0
2,0764;7,7136;4,4735;0
6,5087;9,7487;10,2836;2
6,5548;10,6579;6,6822;1
0,4607;2,0214;4,3863;0
8,5833;5,2506;8,8803;2
4,9752;8,1234;11,9956;2
7,7162;1,7928;10,9211;1
-0,0433;5,075;1,1797;0
7,3255;4,6334;5,6584;1
-0,9154;2,2156;3,3434;0
2,5575;6,3364;8,2489;1
4,2675;2,5704;0,7115;1
4,6079;3,7174;2,0873;0
6,7395;9,8569;7,3547;1
-0,6195;-0,2077;4,1509;0
6,6092;8,9871;6,6596;2
7,4428;10,1098;7,5046;2
7,7102;6,1715;8,5091;2
0,7455;-0,6727;3,322;0
6,7387;10,7719;6,306;2
5,9089;7,6821;5,5779;2
5,9999;2,3788;5,778;1
2,7002;2,7449;1,5973;1
7,0801;8,245;4,7934;2
5,264;2,8043;10,311;1
4,2337;5,2846;9,3077;1
5,9906;7,8488;5,0901;1
1,7715;4,1963;6,5274;0
5,6957;4,5541;9,2562;2
6,0334;10,8355;5,3691;2
9,5201;5,7299;9,9541;2
7,8218;6,8407;4,9766;2
7,3971;6,0143;7,8276;1
1,9756;2,7731;5,3081;0
4,2444;3,4002;2,2531;0
5,7748;6,11;1,3223;1
4,874;7,6935;4,1601;2
6,3904;7,4213;4,6824;1
5,547;8,5559;2,4771;2
6,8727;8,9715;7,6928;1
10,3485;5,8795;10,4764;2
1,2963;3,1757;-0,8263;0
14,4546;10,8519;11,2474;2
7,6955;4,4301;1,229;0
8,5946;1,4503;7,2223;1
5,4095;3,0385;2,1368;0
7,8469;9,7751;7,1294;2
2,3606;4,7803;4,772;2
1,9038;1,9744;-1,4524;0
4,5665;3,5744;0,8832;0
7,2792;5,636;6,2083;1
5,2644;3,063;6,3068;2
8,7294;7,2992;8,3488;2
10,5297;2,89;4,3456;0
11,3821;8,5326;6,9127;2
5,9788;6,3962;9,8058;1
3,8249;8,7791;7,9284;2
3,6983;1,9703;5,1325;1
5,6381;4,7363;2,7237;1
3,5081;4,6365;4,2288;0
2,6541;1,2534;2,0753;0
1,1833;1,9398;5,3701;0
5,445;6,5673;8,8906;2
7,0154;8,6249;3,5828;1
5,3671;6,857;4,3765;1
1,6258;8,2508;2,1234;0
5,3378;4,4701;2,4266;1
5,3936;7,1779;11,6991;2
1,9755;4,1429;7,4568;1
3,6951;6,6331;1,3888;1
5,7999;10,0458;8,3533;1
-0,335;0,2959;3,2544;0
4,802;-1,1935;3,9319;0
8,8671;6,608;6,9787;2
5,1692;6,2753;1,0017;1
3,8124;2,3101;6,9637;0
2,9493;2,844;3,9625;0
4,4977;6,6936;9,7387;1
4,2023;0,2367;5,432;0
-0,5037;3,121;0,8297;0
3,9368;11,8138;7,149;2
0,4475;1,3181;2,7642;0
3,7594;2,0641;2,7344;1
7,9307;8,404;7,8484;2
5,3279;6,09;4,8478;0
7,2494;8,5056;4,4762;1
0,7426;-1,7666;4,7987;0
7,2772;3,316;4,8929;0
4,8832;5,1458;3,4794;0
3,9294;-1,9201;2,2021;0
1,7297;4,9707;2,5634;0
0,4181;3,1299;0,6867;0
5,7443;7,7103;8,7333;2
0,5042;7,47;10,951;2
6,3656;6,0346;6,4716;2
6,8078;5,3751;3,6605;1
0,383;3,543;6,2002;1
0,9637;2,7181;1,3581;1
4,0728;7,2506;7,6494;1
6,055;7,0637;0,6151;1
6,1328;5,6473;4,7305;1
5,5966;1,9059;9,918;1
-0,1436;3,0794;4,1592;0
1,9635;4,1956;4,7214;0
3,645;-0,6622;2,4147;0
8,0998;6,0924;5,9771;1
10,1375;7,4097;8,9664;2
7,9773;8,6432;6,2065;2
4,0328;9,8714;10,0344;2
5,8065;4,7173;8,3362;1
9,0672;7,0707;7,7071;2
6,7519;4,1638;5,3001;2
10,4478;2,1989;8,4899;2
4,5835;2,7809;-2,0713;0
6,6053;4,1732;6,4171;1
2,5787;3,8231;3,2906;0
0,8975;4,5828;-2,5751;0
-0,8408;2,163;3,6601;0
1,6253;-0,127;-1,2483;0
1,6973;-1,8065;0,0649;0
5,7525;1,1541;2,8095;0
2,0522;6,3414;4,7228;0
4,0466;4,209;-0,4262;0
0,5872;-0,1386;3,8368;0
2,0993;0,361;5,5976;0
8,7151;7,5019;3,8383;2
2,9888;4,7903;0,1435;0
3,2002;5,6528;10,5773;1
4,7685;2,1528;1,1557;1
5,4187;3,1208;3,1375;0
2,0004;3,4569;0,7204;0
4,2795;4,4989;2,2178;1
0,9569;0,3081;3,3476;0
4,3537;3,459;4,3539;1
1,8554;1,5089;0,3826;0
9,651;6,5842;6,2302;2
2,7577;1,613;5,3853;0
5,5156;2,3419;4,8989;1
9,9699;9,5104;7,9735;2
3,6947;2,9011;3,7161;1
1,1517;4,4879;6,6722;0
9,032;5,1587;8,63;2
7,158;10,9781;8,3779;2
1,263;2,3439;3,6746;0
1,5356;7,3892;7,132;2
5,1996;4,1367;7,1739;1
1,7933;1,2529;8,5585;1
10,3139;7,351;5,5459;2
5,3295;4,6875;6,1111;0
7,8449;5,8791;9,5021;2
1,8677;5,069;2,0187;0
-2,9569;0,4024;5,0339;0
1,2079;2,2457;2,0436;0
3,406;2,4486;2,7178;0
2,0252;3,4423;3,8199;1
8,7782;4,4905;10,2004;2
-1,9543;5,0207;4,3764;0
0,3318;10,7525;5,6082;2
10,3835;5,4311;2,3778;1
8,6854;6,8;4,6043;2
6,5446;6,6693;8,1501;2
2,0938;3,7484;8,1677;1
3,2302;5,3132;5,3705;1
0,0627;5,5561;3,7727;0
8,7303;4,674;3,0231;2
-0,8722;-0,0591;2,1039;0
9,907;9,8177;8,1623;2
-0,5973;0,0092;1,2373;0
3,0433;-0,0983;6,0671;0
4,1475;6,0742;7,8707;2
7,6576;7,3494;11,7318;2
6,3956;6,1291;9,1171;1
0,6755;4,5551;3,8411;0
1,3152;3,2705;6,8008;0
5,9317;6,3837;9,367;2
6,4224;2,8852;2,3421;1
4,3432;4,4119;5,269;1
5,3474;9,2392;3,0132;2
5,1943;4,1632;5,662;1
4,8694;3,5934;6,8638;1
3,1513;5,4386;3,2141;1
8,2853;0,9616;2,2944;1
4,2955;2,4465;2,849;0
7,381;9,0319;7,2837;2
2,1946;3,9574;3,6061;1
2,3936;6,8348;3,9981;0
6,5787;7,8401;4,9387;2
6,0136;1,1704;-0,4602;0
6,1896;4,791;6,6767;1
3,5023;8,0576;0,817;0
2,3711;3,0936;7,1728;1
7,4089;2,4483;5,1808;1
7,1279;11,0141;4,9556;1
5,9054;7,5877;9,1189;2
-0,0505;2,716;3,2789;0
2,9937;-2,4766;9,5409;0
6,4333;4,0921;6,7499;2
5,0348;1,9903;6,6783;0
5,7294;1,5531;1,7253;0
5,3106;-0,0167;-0,6944;0
4,7433;2,9339;3,7655;1
2,2494;3,2029;7,1015;1
2,2768;2,5767;3,2064;1
0,754;6,5654;1,8855;1
6,5952;6,1419;7,6038;2
6,4257;8,3041;6,1745;2
4,2012;-0,2668;5,9224;0
10,7207;7,583;6,0186;2
8,7232;7,1526;11,9595;2
2,3451;5,4782;1,7819;0
4,9203;8,5116;3,0439;2
3,6101;2,8488;0,3674;0
2,9468;3,3519;1,4926;0
10,814;7,3634;3,9512;2
5,3015;2,2987;4,3707;1
5,995;3,7218;3,7711;0
6,8136;4,1864;4,6503;2
7,1491;5,1327;9,8884;2
5,776;4,8277;5,2458;0
1,7309;3,5264;1,5686;0
3,6909;3,6012;3,4244;1
8,5134;3,1426;6,7888;2
4,8779;1,069;2,0709;0
7,1007;4,4884;5,0467;2
3,985;5,2955;4,6968;1
6,6692;4,389;5,5098;1
4,2043;3,4016;1,8292;0
7,0694;2,0857;6,5647;0
9,0185;1,7537;6,1438;2
5,9719;5,2115;7,4887;2
4,5425;10,7376;8,5051;2
8,5174;10,4275;4,4244;1
3,303;5,8092;5,5617;1
3,2357;2,0576;4,746;0
7,8528;9,2599;8,4191;2
10,6899;7,7033;8,8613;1
5,9259;4,989;9,7348;2
5,5639;7,1823;5,2614;2
6,3535;7,1224;13,2774;2
4,9449;4,2844;0,1183;1
7,557;1,419;3,1976;1
7,5481;1,874;6,44;1
2,5303;4,1025;-2,6197;0
5,9287;-1,9094;3,03;0
5,2463;7,1698;7,1322;2
3,909;1,0454;3,337;0
8,0704;6,2266;5,8096;2
7,2176;0,4901;2,2149;0
1,6592;-0,9628;2,3789;0
7,1141;8,2332;7,0325;2
9,4032;9,8715;4,8129;2
1,3563;4,033;5,0519;1
0,3775;-1,8746;3,9261;0
3,4604;5,8335;2,8412;1
7,7471;6,5315;2,4571;0
9,1006;6,4796;6,5265;2
6,4091;7,7718;9,2315;2
5,7671;4,5898;0,8674;0
7,4096;2,8813;3,256;2
3,2656;9,9397;6,0727;2
3,5119;8,2858;4,4024;1
-0,4385;0,6029;6,7299;0
7,1227;1,6168;2,9274;0
-0,635;3,896;1,5581;0
3,4797;6,4774;1,8812;0
8,8323;6,0818;9,6616;2
2,7775;4,1772;9,0508;0
5,5396;0,7769;3,2236;0
7,7796;1,7067;7,4611;2
1,9874;2,2244;2,67;0
1,3825;3,4782;5,8907;0
3,4623;5,1274;6,8469;0
5,2681;8,5117;5,6471;1
5,5522;6,295;5,6294;2
4,731;5,4471;1,5055;1
2,2138;8,6075;7,9562;1
3,8625;4,4712;-0,6188;0
6,6913;3,9062;5,3927;1
4,5225;7,2262;6,7925;2
3,4259;-0,4966;2,9018;0
8,1451;2,0806;6,8818;1
2,453;0,1466;5,9092;0
6,0068;10,2719;1,8847;0
2,3567;4,6147;2,5848;1
12,3771;5,2831;9,4274;2
1,2716;6,3211;7,566;1
3,6077;5,8269;5,6833;1
2,7562;3,2793;6,7375;0
7,1254;0,5481;2,2586;1
0,9098;3,7606;2,5955;0
6,7972;6,0722;7,5236;1
1,9228;4,133;2,7135;0
6,6855;9,727;3,6049;2
10,7179;5,4305;10,944;1
4,5324;1,6807;4,5548;1
2,6822;3,3065;-0,0216;0
6,0105;6,7838;1,5441;0
6,3609;1,6065;8,4758;2
5,3119;8,4098;6,8413;2
7,3548;3,7066;8,2916;2
8,8955;5,1024;5,0879;2
0,3278;5,5697;4,2902;0
6,5301;2,7229;5,5087;2
6,9286;6,449;9,0686;1
5,3683;9,2439;5,0948;1
4,2133;13,3396;2,4802;2
4,9624;1,1942;7,2963;1
5,4761;6,9439;1,7058;0
3,6535;3,1918;1,1296;0
5,0543;6,878;2,3896;1
7,3786;12,6354;8,672;2
7,4217;9,2943;9,0922;1
-0,3956;0,2898;4,6531;0
3,3384;4,2027;8,0369;1
1,156;3,3677;8,4078;1
2,6091;4,1433;7,533;1
5,6317;8,3256;3,985;1
4,5608;7,8431;10,825;2
8,1485;7,2395;10,2703;2
8,1476;6,4459;11,767;2
2,9956;4,2476;3,9301;2
4,1112;-1,7383;0,8858;0
5,9184;1,2769;10,3245;2
8,6976;5,0848;2,9557;0
4,6925;5,939;2,4204;1
6,7898;6,4599;5,6959;1
0,7313;5,2546;2,4853;0
9,4939;9,87;8,0691;2
8,3949;4,7888;9,3688;2
7,7162;4,8888;7,1779;2
7,8474;7,9733;7,5512;2
5,0149;4,8634;3,8992;0
1,1798;-2,0084;3,8457;0
6,2168;5,3601;11,1602;2
5,3153;8,5395;8,0972;2
6,5408;1,5993;8,2857;2
6,0845;7,2566;8,562;1
5,2881;5,1193;8,1865;2
3,8951;0,6942;7,2269;1
3,9584;7,0881;5,2723;2
5,5655;9,4188;11,9401;2
7,3485;5,5587;7,6432;2
9,7911;5,7068;5,8742;2
4,2415;2,4566;4,77;0
3,1533;9,1279;10,0908;1
3,2184;0,8112;1,245;0
8,7802;4,1693;10,3005;2
7,6558;5,5105;5,7486;2
7,86;-1,5182;0,7763;0
6,0769;8,0605;9,8591;2
2,3917;4,0792;8,0387;1
6,734;10,0924;7,8931;2
8,5975;5,6977;6,8902;2
3,3123;1,1609;6,208;1
3,4213;5,1897;3,207;1
-4,6461;1,3692;4,4663;0
10,5743;7,1453;8,7256;2
6,3574;6,8154;-3,7186;1
10,4282;6,4594;3,6451;2
4,7817;0,8548;4,4437;0
5,5657;4,6835;-0,0626;0
6,5415;9,5821;4,9137;2
2,5286;7,7664;5,753;2
10,9119;4,4192;7,9779;2
5,9874;1,8213;9,4256;2
6,52;3,7255;-0,9289;1
7,3536;8,4827;4,1118;2
8,7065;7,0716;5,1175;1
9,8131;9,2283;5,0847;1
5,2027;3,8013;8,1198;2
6,2594;2,628;-0,061;0
2,7868;6,1696;1,531;1
7,3328;2,5328;4,5788;0
6,4125;4,5697;0,3922;0
14,3633;6,7936;6,8894;2
3,9807;6,3892;8,803;2
4,5589;6,2546;3,5698;1
6,0707;4,8624;5,9293;2
7,9389;6,7229;5,9467;2
6,019;6,2463;3,0874;1
3,2419;-0,5275;2,9219;0
5,5382;3,1597;5,4771;0
7,3173;2,5889;9,5643;2
7,6596;4,0235;0,1404;1
0,926;0,0344;-0,8622;0
14,0153;7,5365;8,7332;2
7,2593;1,8866;3,1082;1
4,7131;6,4455;7,3747;2
5,0689;0,4126;5,6057;1
-3,7988;4,3564;6,9821;0
-2,6858;7,6437;2,4163;0
7,7115;5,0568;2,6144;1
4,3198;2,5343;-1,4103;0
8,3127;7,111;4,4933;2
6,3192;1,5643;1,9817;0
6,7724;6,8988;5,3699;1
0,7554;2,3993;5,9457;0
8,3473;4,2943;7,6841;1
-0,5502;0,4277;5,5344;0
4,1909;7,9571;10,3488;2
-0,2276;2,5982;5,5671;1
14,3942;7,2518;8,6499;2
0,6047;3,1062;5,1574;1
1,376;-2,428;2,7842;0
1,882;1,0582;2,7992;0
8,9962;5,8045;3,7551;2
2,8787;1,1646;4,7997;0
1,3443;7,6816;4,8929;2
4,5047;3,6499;5,1613;2
6,6262;4,193;5,9392;1
3,851;0,3619;4,2329;0
1,3568;6,267;1,4807;0
6,5985;5,3407;2,2116;0
2,1196;4,682;3,3516;0
0,6097;1,1816;6,6877;1
11,0724;8,3366;5,7747;2
3,2062;1,839;3,1263;0
6,5578;3,9061;3,9355;1
9,606;7,8642;3,8944;2
1,3374;6,3136;4,9597;2
10,0579;7,9127;9,1295;2
5,4036;7,333;-4,0234;0
4,8078;6,4726;0,5434;1
3,6807;-0,5448;0,0737;0
2,0291;5,4839;8,1909;2
5,5328;3,4692;6,5696;1
9,5368;5,6025;8,7861;2
6,2447;8,1458;3,0735;0
5,1828;-1,5244;6,3319;0
5,4425;9,3711;6,4455;2
2,4968;10,9975;2,6194;2
1,185;9,4908;5,2305;1
8,9693;11,4164;8,3367;2
-2,0327;3,4114;6,3331;0
4,6582;0,9089;3,2015;1
3,2105;6,2164;7,817;2
9,328;6,7361;3,8514;2
5,244;9,8449;5,0023;2
6,9204;4,8056;3,029;0
1,3615;5,0853;2,9641;0
4,7803;4,1576;10,7786;2
3,892;-2,5344;6,1636;0
8,482;4,9411;6,5365;2
1,1343;6,8939;7,572;1
2,5679;4,0958;3,0298;0
5,055;4,8584;4,8805;1
3,29;4,0031;6,5197;0
8,0643;6,867;7,1393;2
5,2953;4,9175;9,4207;2
4,0994;5,2285;4,0606;0
-0,6654;2,9206;3,241;0
5,903;6,1655;11,1238;2
4,4178;7,8937;6,117;1
4,5067;3,3031;6,5581;1
5,7416;0,666;7,7951;1
3,7065;4,3674;6,2244;1
1,4145;6,2096;5,5029;1
4,0299;2,8193;0,9561;1
6,9658;10,3065;3,6416;1
4,9705;6,1759;12,0166;2
6,6432;1,6538;1,8578;0
5,9258;4,1575;5,5963;1
3,67;1,3904;3,7054;0
13,8058;8,2145;9,357;2
6,0255;6,1501;7,2936;2
0,8249;3,8409;-0,3455;0
5,9668;1,8838;5,3852;2
10,1722;3,6239;3,1038;2
6,9135;7,3727;8,1552;2
6,8538;3,3783;6,8178;1
4,2418;0,5376;6,3596;0
7,4192;8,0316;7,2871;1
1,5704;7,767;7,5619;2
2,3617;4,7733;1,8147;0
5,7068;7,8513;4,9087;1
5,2078;5,1945;6,6688;2
5,8494;6,6022;4,1365;1
2,2633;5,4837;2,9638;0
5,3085;3,6817;7,8861;1
4,7638;7,8865;6,8375;2
1,3662;3,0243;3,8609;0
8,238;3,8547;2,8507;0
6,8411;7,084;0,7798;0
7,4293;7,6061;7,5731;2
2,7712;6,4142;3,2677;2
9,7383;7,9423;7,0961;2
