x1;x2;x3;x4;y
0,282;1,803;1,51;-0,109;0
0,801;1,559;0,337;0,621;0
1,275;1,434;1,017;0,282;0
0,782;0,014;0,803;1,706;0
1,298;-0,636;2,127;1,361;0
1,103;1,385;0,681;0,627;0
0,228;1,404;1,364;0,805;0
0,272;0,276;1,096;1,039;0
0,699;-0,117;0,858;1,29;0
1,893;-0,621;0,54;1,507;0
2,283;1,014;0,068;1,674;0
0,107;-0,439;0,612;1,888;0
1,356;0,889;0,531;-1,844;0
1,343;-0,336;0,881;1,261;0
1,797;2,023;2,855;1,356;0
1,24;0,663;0,843;0,572;0
0,693;1,318;1,792;2,144;0
0,623;-0,429;0,297;2,349;0
-1,455;1,387;0,834;0,958;0
1,449;1,202;1,676;1,297;0
0,153;-0,454;0,873;1,801;0
1,571;-0,119;0,677;0,491;0
1,184;0,706;1,196;1,52;0
0,469;1,39;1,268;4,065;0
0,12;1,615;1,011;-0,257;0
1,214;2,235;-0,277;2,252;0
0,69;2,071;1,397;1,13;0
-0,226;2,046;1,036;0,806;0
0,528;0,719;0,073;1,046;0
-0,181;1,749;0,573;0,168;0
0,55;1,07;0,976;0,44;0
2,107;0,875;1,727;1,481;0
1,544;1,229;0,727;1,484;0
0,583;1,228;1,614;2,003;0
1,387;0,631;0,757;0,412;0
1,811;0,375;2,091;1,087;0
1,11;-0,237;0,645;1,089;0
0,88;1,238;-0,318;0,647;0
0,625;0,358;0,663;1,736;0
0,185;0,087;0,869;1,704;0
1,233;1,403;1,378;1,618;0
2,06;0,958;0,472;0,913;0
0,693;1,271;0,609;0,816;0
1,096;2,252;0,606;-1,206;0
0,498;1,71;1,138;1,078;0
0,585;0,054;2,168;0,139;0
0,35;2,425;0,463;1,677;0
0,331;0,303;1,988;0,696;0
1,763;0,066;1,256;0,593;0
1,358;1,048;2,495;0,321;0
0,464;1,371;1,62;0,261;0
1,433;1,157;0,669;1,953;0
1,509;0,644;2,012;-0,357;0
-0,181;3,244;0,062;0,785;0
-0,469;2,118;1,607;0,128;0
1,089;2,544;0,616;0,393;0
0,194;1,849;0,897;0,211;0
2,479;0,955;-0,581;0,715;0
0,96;1,428;1,732;1,132;0
0,147;1,742;2,61;1,642;0
0,941;1,077;0,615;0,871;0
0,774;0,956;1,409;0,759;0
1,739;0,377;0,865;2,046;0
1,07;0,784;1,429;1,27;0
0,58;1,845;1,092;-0,644;0
1,765;0,071;1,159;0,874;0
1,789;0,449;0,875;1,049;0
1,391;1,905;1,223;0,936;0
1,171;1,071;1,182;1,601;0
2,923;-0,46;0,018;-0,101;0
1,685;-0,24;1,577;1,552;0
1,614;2,173;-0,725;0,734;0
0,955;0,751;0,284;1,578;0
0,551;0,597;1,766;1,393;0
1,732;1,202;1,831;0,716;0
0,958;-0,337;0,798;0,639;0
0,571;0,892;1,058;0,027;0
0,613;0,067;0,938;0,45;0
1,249;2,149;1,276;0,027;0
2,476;1,747;0,284;1,506;0
0,587;1,953;2,424;-0,317;0
1,262;0,297;1,132;1,489;0
1,709;2,209;1,161;-0,001;0
1,051;1,636;-0,549;0,499;0
2,594;3,264;1,52;0,251;0
1,425;0,819;0,95;1,149;0
-0,06;0,301;1,591;2,853;0
1,038;0,489;1,581;1,163;0
-0,397;0,487;3,459;-0,358;0
0,978;1,473;0,873;0,838;0
0,754;1,561;0,424;1,988;0
1,653;1,76;-0,542;0,123;0
1,669;0,693;0,719;1,325;0
0,578;1,739;-0,84;0,089;0
1,607;0,649;2,051;1,757;0
0,584;0,655;0,351;2,514;0
1,168;1,393;1,799;-0,153;0
2,55;2,883;0,921;1,1;0
1,221;2,021;1,502;1,766;0
1,34;1,939;0,679;2,139;0
0,083;1,854;1,224;0,97;0
1,582;0,913;1,571;2,123;0
2,809;0,593;1,812;0,509;0
1,571;-0,914;-0,311;0,26;0
1,858;-0,097;1,028;1,074;0
0,354;-0,151;1,807;1,3;0
0,265;0,111;0,138;0,86;0
0,876;0,417;0,733;1,482;0
-0,307;2,031;0,388;1,495;0
2,186;1,461;0,448;1,542;0
1,661;1,081;1,417;-0,155;0
1,623;0,276;0,567;0,42;0
1,197;1,48;-0,826;1,222;0
2,603;0,349;2,097;1,221;0
0,504;0,117;0,62;0,42;0
0,146;1,569;0,027;2,407;0
0,754;0,795;1,687;1,955;0
1,563;1,336;-0,896;0,513;0
1,695;1,617;1,647;0,385;0
1,132;1,111;1,011;-0,102;0
-0,387;1,924;1,995;1,068;0
0,249;0,267;0,621;-0,041;0
1,853;2,021;-0,393;-0,572;0
1,713;0,732;0,638;0,862;0
0,841;0,88;2,938;1,411;0
2,248;1,065;1,344;1,912;0
1,645;1,384;1,787;0,469;0
0,839;0,114;1,274;1,001;0
1,593;0,761;1,395;-0,004;0
0,722;0,692;0,348;1,938;0
0,257;1,594;0,195;1,16;0
1,804;3,068;0,851;1,805;0
0,664;2,265;0,516;2,081;0
1,455;0,906;0,777;1,365;0
-0,857;1,35;-0,503;2,956;0
0,693;0,779;0,93;1,239;0
0,968;1,589;0,994;0,872;0
1,153;2,546;0,819;-1,034;0
1,438;3,502;0,423;0,809;0
1,889;1,756;0,281;0,479;0
0,872;1,064;1,818;1,996;0
0,407;1,703;0,476;0,241;0
0,33;-0,119;1,643;1,372;0
1,031;1,188;2,146;0,732;0
0,695;0,413;1,107;2,237;0
0,469;0,764;2,176;1,503;0
1,815;0,102;0,778;1,904;0
0,872;1,966;1,573;0,358;0
1,08;0,701;1,117;0,218;0
0,797;0,253;1,253;0,436;0
0,508;1,74;2,452;0,272;0
1,276;1,87;0,526;-1,671;0
1,555;1,167;1,463;0,478;0
2,622;1,493;0,209;0,667;0
1,335;0,114;0,593;1,778;0
0,897;1,921;1,192;0,325;0
1,522;1,669;1,661;1,839;0
1,877;2,02;0,658;0,303;0
0,746;-0,302;0,876;1,426;0
0,688;0,399;1,571;0,501;0
1,549;0,909;0,463;1,387;0
0,046;1,615;2,03;-0,105;0
1,03;0,544;1,801;0,384;0
0,901;-0,134;1,505;-0,153;0
1,756;0,721;0,882;0,595;0
1,415;0,926;1,393;0,894;0
0,105;0,966;3,037;0,604;0
0,591;1,457;2,062;2,369;0
1,184;0,124;1,817;0,417;0
0,087;1,298;0,228;1,101;0
1,009;2,212;1,411;1,155;0
2,118;2,747;1,49;0,385;0
1,348;0,377;1,916;1,608;0
1,064;0,601;-0,489;2,213;0
0,097;1,329;1,069;0,386;0
1,198;2,607;2,212;0,482;0
2,604;-0,426;0,106;0,587;0
0,854;1,139;0,808;1,266;0
0,836;1,865;1,801;1,713;0
0,981;-0,277;2,333;0,951;0
1,26;-0,039;2,169;1,305;0
0,998;0,865;0,017;1,175;0
0,798;1,828;0,808;2,27;0
1,162;1,4;0,647;0,241;0
-0,288;0,146;2,151;0,152;0
0,674;0,815;1,597;1,203;0
0,346;1,291;1,526;1,447;0
1,788;2,624;1,541;0,265;0
1,5;1,078;0,677;0,105;0
-0,005;0,731;-0,14;1,433;0
2,52;0,115;3,064;1,21;0
0,737;2,658;0,937;1,402;0
0,878;2,024;0,847;1,527;0
0,461;0,591;-0,156;1,277;0
-0,706;0,519;2,134;0,312;0
1,69;0,525;0,86;0,935;0
0,562;0,551;1,359;0,028;0
1,425;1,136;0,93;-0,502;0
1,693;1,441;0,714;-0,233;0
0,282;0,084;1,833;0,515;0
1,885;0,664;1,776;0,711;0
0,058;2,643;0,755;0,442;0
0,254;3,486;1,932;-0,01;0
2,144;1,571;0,759;1,228;0
0,602;0,823;-1,139;0,425;0
2,051;1,238;0,072;0,685;0
0,719;-0,338;1,418;2,235;0
0,375;1,725;1,571;1,156;0
1,279;0,251;1,743;0,821;0
1,205;1,773;2,022;2,728;0
-0,072;-0,208;1,112;1,802;0
1,026;1,146;1,339;0,531;0
1,298;1,707;1,027;0,491;0
1,476;0,651;0,441;1,554;0
1,313;0,71;1,22;0,088;0
1,626;0,62;1,874;1,878;0
3,162;1,861;1,398;0,82;0
2,932;2,09;0,653;2,049;0
0,881;1,782;0,429;1,369;0
1,673;0,322;1,455;0,416;0
1,433;2,456;1,847;1,11;0
0,897;0,72;2,016;0,312;0
-0,218;2,166;0,79;1,22;0
3,228;0,928;1,164;0,503;0
1,887;0,23;0,385;0,539;0
2,338;1,519;0,544;0,962;0
2,438;1,344;0,037;1,442;0
0,539;1,853;0,777;1,723;0
2,242;0,638;1,632;0,495;0
2,048;-0,895;1,659;0,494;0
-0,023;1,851;1,789;0,136;0
2,264;2,913;0,395;1,566;0
0,474;0,273;1,983;1,251;0
0,703;0,009;0,609;0,835;0
0,757;0,581;-0,22;1,018;0
1,369;1,669;2,626;-0,723;0
1,308;-0,218;0,848;1,771;0
0,36;0,25;1,31;1,189;0
-0,498;0,501;0,546;0,495;0
0,631;2,229;1,388;1,976;0
0,844;2,366;1,215;-0,649;0
0,657;1,712;0,059;0,951;0
0,593;1,763;2,339;1,759;0
1,918;0,466;1,007;0,347;0
-1,561;0,687;1,174;0,597;0
0,677;-0,552;1,395;-0,091;0
1,374;-0,334;1,179;0,269;0
0,75;0,241;0,346;1,003;0
1,068;1,455;-0,066;1,815;0
1,256;-1,28;1,579;-0,004;0
-0,046;-0,319;0,812;-0,294;0
1,085;-0,236;1,242;0,539;0
2,094;1,212;1,899;0,674;0
0,358;0,891;0,311;0,506;0
1,112;0,951;1,198;1,338;0
1,085;1,763;1,656;1,358;0
0,505;1,013;1,837;1,938;0
-0,365;0,854;1,293;2,22;0
-0,47;1,822;0,374;0,924;0
0,992;1,176;0,977;0,79;0
0,714;1,569;0,41;0,42;0
-0,019;0,873;0,674;1,501;0
1,27;0,399;1,067;0,482;0
0,166;1,27;0,78;2,068;0
2,662;0,527;-0,24;1,34;0
0,511;-0,242;0,166;1,403;0
1,229;1,33;1,704;0,304;0
-0,192;0,92;1,655;1,788;0
3,121;-0,103;0,163;0,936;0
1,481;0,044;0,614;1,683;0
1,341;1,534;0,33;0,337;0
1,38;-0,453;-0,604;1,351;0
0,512;2,142;1,631;1,17;0
1,099;0,567;0,698;-0,46;0
1,098;2,094;0,863;0,28;0
0,588;1,831;0,325;0,128;0
1,259;0,358;1,041;1,808;0
1,571;1,529;-0,042;-0,207;0
0,875;1,554;1,895;0,258;0
-0,559;0,365;1,621;-0,045;0
0,881;0,882;2,325;1,604;0
1,209;0,771;1,621;0,169;0
0,415;1,111;1,399;1,368;0
0,492;1,511;0,757;0,393;0
1,09;0,962;2,839;2,156;0
1,685;-0,601;1,483;0,702;0
-0,425;0,463;1,662;0,51;0
1,666;1,344;0,646;1,24;0
1,16;-0,248;0,683;-0,134;0
0,451;1,087;0,547;0,33;0
1,086;1,204;2,335;1,067;0
1,504;3,121;0,896;0,825;0
1,114;2,359;0,667;1,527;0
-0,122;1,231;0,927;0,075;0
0,479;0,038;0,443;1,362;0
-0,071;0,772;0,048;2,118;0
0,536;0,685;-0,553;1,68;0
0,009;0,534;1,663;0,774;0
0,783;0,012;1,681;0,014;0
0,413;-0,141;1,205;2,334;0
1,908;0,948;0,743;0,755;0
0,829;0,729;2,101;0,624;0
0,783;0,918;1,014;-1,283;0
1,468;0,724;1,806;0,831;0
1,851;0,794;1,385;1,22;0
0,718;1,34;0,592;0,315;0
2,656;1,632;0,023;1,282;0
-0,02;0,624;0,422;1,023;0
0,885;2,278;1,578;0,85;0
-0,104;1,288;-0,288;1,445;0
1,426;0,045;1,075;0,48;0
1,744;0,988;0,1;1,095;0
0,07;1,671;-0,361;1,53;0
0,158;1,513;0,544;1,263;0
0,727;2,495;0,968;-0,543;0
1,386;0,769;-0,065;1,852;0
0,282;1,037;-0,088;0,388;0
1,163;1,343;1,817;0,094;0
1,442;1,072;1,644;2,209;0
1,502;-0,922;0,795;0,806;0
1,175;2,879;2,315;1,552;0
0,713;0,843;2,199;1,468;0
0,947;-0,509;0,44;2,041;0
0,69;0,623;2,031;-0,069;0
2,684;1,116;1,773;1,245;0
0,081;1,513;3,052;1,715;0
0,885;1,364;0,351;1,492;0
-0,084;0,178;0,533;0,735;0
2,466;0,463;2,983;1,102;0
0,846;0,704;0,256;0,149;0
0,61;1,903;0,749;1,403;0
0,496;0,297;0,479;-0,187;0
-0,494;0,63;1,1;1,235;0
3,575;1,216;0,838;0,185;0
2,379;1,124;0,89;0,794;0
0,409;0,813;2,029;1,408;0
1,323;1,863;2,45;0,242;0
0,078;0,285;1,199;1,782;0
1,207;0,628;1,482;2,149;0
0,953;1,107;0,491;1,095;0
1,699;0,142;-0,387;0,127;0
-0,219;0,252;2,142;0,424;0
1,19;0,71;1,881;0,966;0
1,205;2,424;1,01;1,566;0
1,659;2,122;0,428;-0,15;0
1,521;1,919;0,708;1,591;0
0,699;2,151;1,203;1,285;0
1,964;0,439;0,558;1,459;0
2,441;0,422;1,851;1,242;0
0,402;1,358;0,159;2,524;0
0,126;0,669;1,632;1,407;0
0,199;-0,477;0,435;1,188;0
1,096;2,043;0,094;1,206;0
0,991;2,064;1,629;1,654;0
0,874;1,008;1,875;1,508;0
-0,332;0,957;0,521;1,833;0
-0,335;0,043;0,599;1,94;0
0,135;2,982;-0,343;1,911;0
1,868;1,982;0,479;1,579;0
0,257;0,341;0,762;2,303;0
-0,222;1,449;2,713;1,494;0
1,628;0,551;1,904;-0,521;0
1,091;0,202;1,616;0,616;0
0,23;1,018;1,998;0,893;0
-0,248;1,517;0,942;1,648;0
0,809;1,614;1,8;1,105;0
1,14;-0,996;0,608;1,071;0
0,869;0,543;0,347;1,144;0
0,366;1,729;1,058;1,404;0
-0,452;1,643;0,275;-0,551;0
2,028;2,141;1,197;-0,234;0
1,001;0,769;3,071;0,993;0
1,724;-0,333;1,641;3,012;0
1,772;0,297;1,118;0,118;0
0,992;1,279;1,702;1,675;0
1,34;0,073;0,698;1,509;0
0,874;1,663;1,074;1,42;0
1,989;-0,582;2,365;0,437;0
2,049;1,58;1,299;0,702;0
1,328;0,972;1,359;2,109;0
0,583;1,22;-0,275;3,654;0
1,253;0,329;2,623;0,754;0
-0,784;0,282;0,714;1,371;0
0,763;1,686;0,531;1,843;0
0,953;1,464;0,17;0,625;0
0,88;1,92;1,376;0,736;0
1,569;0,451;1,322;1,232;0
1,624;2,377;2,8;-0,804;0
1,299;1,725;0,966;0,534;0
1,806;0,257;1,253;0,99;0
1,909;1,629;0,218;1,45;0
1,213;0,361;2,083;1,467;0
1,459;1,79;1,203;1,214;0
-0,724;0,393;1,996;1,763;0
1,693;0,558;1,051;0,2;0
1,077;1,405;-0,215;1,881;0
1,021;1,904;1,978;2,335;0
0,4;1,07;1,227;0,024;0
0,031;0,34;0,171;1,103;0
1,339;1,923;1,414;0,366;0
2,747;1,497;0,361;2,429;0
0,879;0,692;1,193;0,133;0
1,917;0,77;0,897;1,594;0
0,88;-0,233;-0,039;1,638;0
1,523;0,671;0,513;-0,344;0
-1,086;0,132;-0,65;1,399;0
1,374;1,485;0,645;2,055;0
0,434;-0,125;1,639;0,705;0
2,317;0,168;-0,546;1,386;0
1,995;0,827;0,714;1,099;0
-0,429;0,935;0,147;1,534;0
1,053;1,631;1,846;1,305;0
1,365;0,73;1,987;-0,464;0
1,366;0,142;0,638;1,046;0
0,958;-0,138;-0,119;2,131;0
1,369;1,681;0,869;2,14;0
0,714;1,648;0,551;0,943;0
2,303;0,812;0,979;0,804;0
1,303;0,987;1,706;0,397;0
0,744;-0,071;1,164;0,461;0
1,291;-0,466;0,434;0,725;0
0,085;1,804;2,584;0,286;0
2,337;1,139;1,578;0,361;0
1,164;1,47;0,649;1,752;0
1,43;1,118;1,341;0,985;0
2,022;-0,216;2,16;1,864;0
0,818;1,382;1,139;1,322;0
0,888;1,452;-0,032;1,691;0
5,445;4,486;7,888;6,264;1
7,509;6,09;5,352;5,835;1
5,691;6,422;6,098;6,63;1
6,233;6,702;6,566;4,976;1
6,996;5,571;4,658;6,316;1
7,264;6,894;5,111;6,227;1
5,397;5,574;4,999;6,16;1
6,62;6,335;5,81;6,32;1
5,772;6,587;7,448;6,662;1
7,196;6,051;5,841;6,256;1
5,731;6,425;7,001;5,291;1
4,89;6,354;6,166;5,17;1
5,581;5,817;6,538;5,495;1
6,467;6,373;6,06;6,255;1
6,756;5,005;5,487;5,212;1
6,089;6,545;5,548;5,286;1
6,311;4,752;6,883;6,392;1
4,781;6,577;7,093;5,341;1
5,253;5,566;5,193;4,25;1
4,694;6,787;5,606;5,229;1
6,334;6,294;7,792;7,497;1
4,858;5,851;5,774;5,785;1
5,214;6,072;6,093;4,694;1
5,816;6,129;6,102;4,771;1
5,954;5,858;6,273;5,462;1
6,428;6,532;6,642;7,577;1
6,178;5,755;4,924;5,561;1
6,698;5,523;6,551;6,641;1
6,012;6,669;5,71;6,866;1
6,84;5,824;5,831;5,813;1
5,412;5,905;6,217;5,442;1
5,05;5,79;4,501;5,91;1
6,004;5,591;5,421;5,11;1
7,294;5,935;5,824;6,622;1
5,396;5,214;5,679;7,233;1
7,549;5,824;4,251;5,63;1
6,163;5,525;5,927;6,263;1
4,36;5,988;5,93;5,912;1
4,866;5,161;5,742;5,681;1
4,23;6,206;5,531;7,485;1
6,653;5,93;5,725;5,453;1
5,306;6,716;7,307;6,277;1
6,668;5,809;5,421;5,528;1
4,469;6,397;6,903;4,655;1
5,001;5,821;6,278;6,498;1
6,07;5,276;6,277;6,717;1
5,727;6,521;6,695;6,148;1
6,673;5,21;7,068;6,715;1
4,852;6,082;6,023;5,0;1
6,205;5,729;6,383;5,261;1
5,593;6,047;6,613;6,087;1
3,128;3,611;6,287;5,941;1
5,853;5,933;4,672;5,086;1
6,015;6,451;6,833;5,471;1
4,998;4,185;4,439;5,587;1
4,595;6,519;5,417;6,282;1
6,513;5,831;6,972;6,727;1
6,031;7,093;7,738;6,084;1
6,727;5,391;5,911;6,549;1
4,703;6,239;5,712;8,282;1
6,596;5,772;8,648;6,304;1
5,612;4,965;6,179;6,545;1
7,413;6,0;5,565;6,978;1
4,758;4,814;5,705;5,755;1
6,034;4,637;6,153;5,794;1
5,234;6,032;5,662;7,195;1
6,078;5,302;5,938;5,834;1
4,424;6,794;6,226;6,326;1
5,996;4,557;5,484;5,899;1
5,616;5,343;6,051;4,946;1
7,223;4,695;5,616;5,23;1
5,913;5,549;5,657;7,655;1
5,845;6,165;4,824;5,648;1
8,37;5,996;6,477;5,713;1
7,731;6,057;5,915;5,287;1
7,471;5,971;6,869;5,767;1
6,523;4,284;5,936;5,852;1
5,414;5,268;6,471;5,119;1
4,819;5,687;6,7;6,391;1
5,123;6,081;5,114;4,797;1
4,958;5,095;4,064;5,487;1
7,598;4,832;3,875;5,211;1
6,455;5,862;6,74;6,597;1
5,456;5,305;6,657;6,295;1
7,95;5,903;6,917;6,275;1
4,96;6,847;5,119;4,364;1
5,204;5,312;6,728;6,451;1
4,773;5,589;5,897;5,997;1
5,944;4,446;5,469;5,149;1
5,985;7,582;5,176;5,545;1
6,159;5,108;7,074;6,337;1
4,987;5,25;4,534;6,25;1
6,317;5,47;5,667;6,648;1
5,683;7,147;6,716;6,63;1
6,628;7,108;4,261;5,664;1
5,851;5,797;5,902;5,856;1
6,625;5,649;5,231;6,438;1
5,895;7,15;5,979;7,296;1
6,949;6,594;7,166;6,873;1
7,044;5,866;5,697;6,255;1
5,095;4,838;6,31;6,422;1
5,504;4,805;7,053;7,028;1
5,557;6,463;5,233;6,225;1
7,713;5,096;5,945;5,627;1
4,762;5,733;4,797;4,304;1
6,829;7,19;6,217;5,823;1
6,158;5,287;6,111;5,089;1
6,663;4,632;6,824;6,791;1
5,54;7,36;6,197;6,94;1
4,218;6,183;5,785;5,527;1
6,486;4,883;5,23;5,059;1
6,62;6,39;7,148;5,687;1
5,953;3,15;6,364;7,097;1
4,886;5,979;6,078;6,637;1
5,8;7,309;5,772;6,096;1
5,774;7,314;6,203;5,001;1
6,382;6,245;5,705;6,534;1
4,892;5,546;5,706;6,906;1
5,947;5,645;6,197;7,39;1
6,007;5,274;5,228;7,583;1
5,697;6,159;5,539;5,817;1
5,122;4,998;6,336;5,945;1
4,834;5,883;6,474;6,061;1
8,115;6,968;5,393;5,824;1
6,357;4,981;6,591;5,815;1
5,966;7,545;6,096;6,147;1
7,938;5,218;6,315;4,301;1
5,184;7,127;6,713;6,547;1
6,781;5,631;5,817;5,785;1
6,622;5,985;5,286;5,524;1
6,31;4,974;6,733;6,611;1
5,126;5,115;5,408;5,621;1
5,218;5,711;6,723;5,684;1
4,685;5,646;5,625;5,571;1
5,484;7,272;6,279;7,036;1
6,153;6,676;4,976;6,306;1
7,275;5,035;5,025;5,582;1
5,199;5,803;5,107;6,008;1
5,956;4,972;5,828;5,25;1
3,707;5,766;5,829;6,708;1
6,27;6,508;7,729;5,999;1
6,358;5,129;5,468;4,934;1
4,655;5,493;7,354;5,899;1
6,243;6,197;6,159;4,512;1
5,065;6,16;5,648;6,624;1
7,264;7,574;6,269;3,857;1
6,025;6,179;6,79;6,299;1
5,82;5,046;6,257;7,098;1
6,728;6,885;6,354;6,09;1
6,624;5,689;6,178;4,552;1
6,155;5,686;6,777;5,019;1
5,673;5,398;6,202;4,862;1
5,061;4,226;4,751;5,274;1
5,266;3,868;6,991;5,53;1
7,846;6,655;5,947;6,35;1
6,168;5,821;5,613;6,875;1
4,923;6,9;7,693;5,219;1
6,729;5,652;5,659;5,645;1
5,356;7,136;6,266;5,196;1
5,623;5,896;4,805;5,632;1
5,372;5,032;5,451;7,719;1
5,736;6,274;5,091;7,939;1
5,344;5,211;5,407;7,26;1
6,574;5,501;5,979;5,181;1
6,848;6,192;5,669;4,723;1
5,275;6,501;5,906;5,392;1
6,448;6,888;4,618;5,294;1
5,887;6,254;5,68;6,056;1
5,559;5,448;6,851;5,13;1
6,461;5,922;6,072;5,839;1
7,183;6,884;6,708;7,619;1
5,723;6,108;4,352;5,241;1
6,049;5,116;4,599;4,967;1
5,431;6,33;6,214;7,624;1
7,025;7,466;5,518;5,194;1
7,737;6,966;6,291;6,312;1
6,295;4,728;4,744;5,963;1
7,295;7,118;6,42;5,501;1
6,076;5,565;6,986;6,419;1
4,987;5,58;6,469;5,863;1
6,773;7,428;5,286;7,248;1
6,759;5,677;8,281;7,77;1
6,4;4,985;5,208;6,751;1
4,975;5,81;4,338;6,579;1
5,438;4,739;4,772;5,21;1
6,134;5,691;4,535;5,713;1
5,798;3,702;6,225;5,044;1
6,055;5,946;6,873;5,078;1
5,818;6,6;4,84;5,885;1
5,214;7,568;7,003;7,045;1
5,158;7,026;5,779;5,288;1
5,092;6,642;5,489;5,178;1
6,446;5,358;6,984;5,007;1
6,622;6,226;7,515;5,737;1
5,321;5,71;7,138;6,113;1
6,484;5,909;5,681;5,929;1
5,955;5,445;6,134;7,741;1
6,052;6,357;3,167;5,331;1
6,235;5,271;5,555;5,55;1
4,176;6,997;5,082;6,243;1
5,823;5,722;4,638;4,55;1
6,1;5,674;6,01;6,676;1
5,216;7,516;5,472;6,069;1
6,755;8,6;7,672;4,977;1
6,895;6,308;4,503;5,744;1
4,768;5,371;5,406;5,57;1
6,637;5,953;6,149;6,548;1
5,703;6,141;5,984;6,13;1
4,613;5,833;5,971;6,341;1
4,5;4,48;6,474;6,755;1
5,21;5,695;6,817;7,058;1
5,296;5,369;6,039;5,088;1
5,787;7,61;5,304;7,508;1
5,618;5,455;6,567;5,927;1
6,771;6,372;6,531;5,487;1
6,838;6,2;5,679;6,503;1
7,079;6,572;6,583;7,488;1
4,188;6,879;4,796;5,861;1
6,498;5,499;6,513;5,323;1
6,881;5,492;6,317;6,926;1
6,082;6,306;6,265;6,981;1
5,812;5,417;6,192;6,789;1
7,006;7,462;6,664;5,72;1
6,031;5,674;6,508;6,503;1
4,249;6,516;6,0;6,388;1
6,447;5,908;6,418;5,303;1
7,089;5,474;6,297;5,137;1
6,42;6,715;6,247;5,783;1
5,904;7,017;6,52;7,029;1
5,982;4,864;5,25;6,638;1
6,88;6,457;7,225;7,18;1
5,149;5,308;5,378;5,975;1
6,658;5,874;7,235;6,333;1
6,462;6,501;6,364;4,869;1
6,219;6,221;6,273;6,034;1
5,636;5,914;5,955;7,103;1
6,011;5,832;7,192;5,296;1
6,349;6,092;6,974;6,142;1
5,632;5,863;6,373;4,828;1
5,607;4,983;6,365;4,876;1
6,79;5,792;5,601;6,566;1
6,354;5,233;5,545;4,603;1
6,305;6,568;4,699;5,055;1
6,289;5,163;6,715;7,408;1
5,547;6,182;6,176;5,161;1
6,179;6,378;6,328;5,928;1
6,096;5,048;7,007;5,268;1
6,187;4,531;5,693;5,604;1
5,784;6,056;6,385;6,667;1
6,558;5,849;6,94;5,676;1
5,25;6,835;6,736;5,335;1
5,094;4,621;4,017;5,715;1
5,757;6,484;5,636;5,866;1
5,806;4,95;6,159;5,775;1
5,961;6,843;7,249;6,837;1
6,567;3,649;6,271;5,607;1
5,16;5,225;7,508;5,635;1
6,131;5,908;8,343;7,272;1
7,375;5,553;4,593;6,591;1
6,106;4,526;6,256;6,637;1
5,017;6,868;5,799;5,759;1
6,523;5,726;4,966;5,171;1
6,685;5,483;6,667;5,714;1
5,541;5,963;5,689;4,354;1
7,452;5,575;4,726;5,383;1
