x1;x2;x3;y
-0,274;0,335;2,311;0
1,667;-0,023;1,588;0
1,142;0,824;0,492;0
1,901;1,126;1,812;0
1,322;1,385;1,59;0
-0,134;1,982;0,755;0
2,057;0,708;-0,128;0
1,691;0,453;1,467;0
1,837;0,566;1,329;0
0,814;1,924;1,74;0
-0,325;0,591;0,89;0
1,124;2,234;-0,875;0
0,867;-0,033;-0,14;0
0,368;0,979;1,608;0
1,047;0,007;0,161;0
0,699;1,483;-0,454;0
-0,309;1,461;1,631;0
1,027;-0,596;0,386;0
1,855;0,877;1,251;0
1,606;1,194;2,331;0
0,529;0,516;0,447;0
1,174;-0,264;1,915;0
0,966;1,623;1,933;0
1,503;1,847;1,91;0
1,626;1,669;0,908;0
0,279;1,466;0,954;0
0,498;1,116;2,119;0
1,13;-0,159;1,333;0
2,986;0,955;1,601;0
1,5;0,752;1,806;0
-0,743;0,101;0,664;0
0,006;0,586;1,538;0
0,554;0,15;1,389;0
0,53;1,51;1,141;0
2,375;1,388;0,39;0
2,299;0,707;0,553;0
1,003;1,815;-0,169;0
1,059;1,045;0,533;0
0,405;1,676;0,345;0
1,019;0,699;0,643;0
0,895;0,616;-1,632;0
1,587;1,978;0,408;0
3,549;0,211;1,124;0
2,187;0,903;2,842;0
2,212;-0,024;1,464;0
0,002;0,982;1,276;0
-0,09;0,211;0,826;0
1,278;2,763;0,404;0
0,999;0,287;2,591;0
1,259;1,492;1,727;0
0,571;0,398;-0,098;0
0,883;1,734;-0,221;0
1,973;0,737;1,263;0
1,12;2,103;1,067;0
0,616;1,682;1,246;0
2,048;0,934;1,811;0
1,355;0,836;1,762;0
0,869;1,833;1,009;0
2,4;1,529;1,941;0
0,602;1,15;0,68;0
0,309;1,613;0,736;0
1,739;1,573;0,824;0
0,438;0,768;0,997;0
1,81;0,551;1,563;0
1,833;0,964;1,476;0
0,592;2,07;0,028;0
2,268;1,03;2,432;0
1,784;1,216;1,198;0
1,168;1,169;1,317;0
1,747;1,358;-0,365;0
-0,493;0,584;0,8;0
1,344;0,695;1,352;0
0,883;1,311;1,184;0
-0,951;0,172;1,366;0
1,118;0,331;1,425;0
0,436;1,011;0,647;0
-0,457;-0,8;0,6;0
1,156;0,787;0,949;0
1,451;-0,162;-0,392;0
0,923;2,02;1,279;0
0,503;0,262;0,48;0
1,863;1,773;0,226;0
-0,284;0,511;1,373;0
1,542;1,075;-0,22;0
-0,747;-0,911;1,295;0
1,523;1,827;0,735;0
1,151;1,742;-0,008;0
1,433;0,963;1,477;0
1,418;1,583;1,475;0
1,232;0,909;0,293;0
1,013;2,198;1,258;0
1,541;1,75;1,667;0
0,513;2,227;0,3;0
0,444;1,151;1,531;0
1,092;1,799;1,069;0
1,363;0,221;0,73;0
0,496;0,028;0,77;0
1,445;0,561;-0,233;0
0,051;0,502;1,129;0
0,767;0,178;2,297;0
0,224;-0,567;2,371;0
0,748;0,839;0,586;0
0,405;0,345;1,537;0
1,212;1,426;2,145;0
0,528;1,025;0,992;0
1,386;0,843;0,484;0
0,988;1,269;0,363;0
1,29;1,004;1,307;0
0,884;2,204;1,648;0
0,285;1,279;1,731;0
1,301;1,766;1,85;0
1,968;0,684;2,18;0
0,434;1,186;0,456;0
0,38;0,635;0,72;0
-0,299;0,785;0,717;0
0,064;0,842;0,974;0
1,182;2,335;0,684;0
0,82;1,502;0,525;0
1,018;1,445;0,91;0
0,763;0,601;1,635;0
1,676;1,886;-0,14;0
1,01;-0,349;-0,296;0
1,123;0,007;1,027;0
2,412;2,671;1,209;0
1,799;0,845;1,967;0
1,529;0,906;-0,055;0
2,562;2,311;1,44;0
0,24;0,86;2,021;0
-0,457;1,46;-0,049;0
1,11;2,107;0,22;0
1,188;0,187;1,54;0
1,569;0,706;2,067;0
1,079;0,331;0,266;0
1,435;0,299;0,53;0
1,348;0,258;0,635;0
1,613;1,748;0,077;0
0,904;1,118;0,848;0
0,526;2,364;1,378;0
0,411;0,846;1,906;0
2,084;0,662;0,722;0
2,442;2,257;2,026;0
0,139;1,58;1,096;0
1,188;2,269;1,232;0
1,304;1,771;0,386;0
0,198;1,762;1,64;0
0,952;0,828;0,42;0
2,109;2,079;2,451;0
1,182;2,105;1,124;0
0,502;0,441;0,133;0
0,325;0,095;1,309;0
0,661;1,208;1,402;0
0,968;2,671;0,071;0
2,135;-0,962;0,015;0
1,402;0,811;1,385;0
0,616;0,817;0,665;0
-0,694;1,047;1,521;0
1,471;1,367;0,667;0
1,493;0,843;1,622;0
1,818;-0,88;1,397;0
1,357;2,092;0,493;0
1,538;-0,285;0,676;0
0,033;0,159;1,845;0
-0,158;0,199;1,807;0
0,005;1,496;-0,472;0
0,508;0,821;1,55;0
-0,262;1,012;1,274;0
1,294;0,955;0,496;0
1,365;1,621;1,654;0
-1,094;2,442;0,534;0
0,974;0,454;0,924;0
0,48;1,855;-0,328;0
1,414;0,179;0,445;0
0,441;1,465;2,583;0
1,776;0,663;1,523;0
0,382;0,876;0,688;0
1,396;1,831;0,801;0
0,606;0,672;0,653;0
0,705;1,019;-0,414;0
1,735;-0,562;0,407;0
0,149;0,175;2,251;0
-0,112;-0,231;2,68;0
-0,162;1,369;0,967;0
1,608;1,129;1,187;0
-1,668;1,245;1,097;0
1,337;1,935;0,909;0
1,439;0,882;1,475;0
-0,201;2,057;1,902;0
0,244;1,763;1,803;0
0,55;0,603;1,934;0
0,779;0,821;0,251;0
-0,821;0,828;-0,362;0
-0,6;0,406;0,7;0
2,052;0,381;0,608;0
1,426;0,344;1,725;0
0,257;0,247;2,361;0
2,211;1,03;0,234;0
1,263;2,541;-0,188;0
2,069;-0,026;1,138;0
-0,02;0,162;0,554;0
-0,221;2,211;2,093;0
1,176;1,218;1,67;0
1,114;1,955;1,161;0
0,865;1,591;0,965;0
-0,631;0,242;0,517;0
1,585;0,281;1,818;0
2,133;2,153;-0,757;0
0,85;0,674;1,088;0
0,828;2,312;1,226;0
2,292;1,622;0,614;0
1,612;0,681;1,373;0
1,403;-0,475;2,324;0
0,56;1,662;1,546;0
1,948;0,776;0,852;0
1,573;3,238;2,432;0
1,789;1,912;0,443;0
1,551;1,599;0,665;0
1,606;0,795;-0,841;0
1,198;0,011;0,596;0
1,106;1,031;0,96;0
2,427;-1,165;0,656;0
0,671;0,941;0,423;0
-0,451;1,316;0,948;0
0,601;2,072;0,915;0
-0,195;0,521;2,086;0
1,739;1,357;2,277;0
1,396;1,245;1,842;0
1,347;1,248;3,342;0
1,459;0,592;0,189;0
1,405;0,549;-0,233;0
1,683;0,379;0,977;0
0,057;0,284;2,19;0
1,22;1,673;0,79;0
1,702;0,734;0,29;0
1,486;0,511;0,711;0
2,114;2,219;0,098;0
1,031;0,397;1,74;0
2,437;0,706;0,889;0
1,629;2,009;0,154;0
2,461;2,265;2,089;0
1,521;-0,077;0,034;0
0,529;0,826;0,212;0
1,677;0,467;1,506;0
1,329;1,001;2,047;0
0,537;0,921;1,931;0
-0,41;1,458;0,633;0
1,977;0,512;1,549;0
0,685;1,253;2,583;0
1,512;1,876;0,482;0
0,494;0,053;0,574;0
1,649;0,418;1,456;0
2,215;1,082;0,991;0
1,231;1,447;-0,053;0
0,974;1,603;0,895;0
2,04;0,891;1,108;0
1,176;0,923;0,39;0
1,008;2,154;-0,757;0
1,065;0,057;-1,611;0
2,366;0,805;0,226;0
-0,118;-0,398;-0,326;0
1,536;0,697;0,919;0
2,161;0,034;1,239;0
1,403;-0,587;0,079;0
2,062;-0,539;2,034;0
-0,052;1,098;1,168;0
2,096;1,384;2,019;0
1,193;0,757;0,697;0
0,906;2,128;-1,136;0
0,969;0,647;0,389;0
1,016;2,17;0,612;0
2,592;1,555;2,427;0
1,281;1,602;1,765;0
0,115;-0,004;1,245;0
4,183;5,334;4,433;1
5,769;4,901;6,144;1
5,334;4,44;4,828;1
5,164;4,536;4,028;1
4,04;4,343;4,9;1
3,968;3,555;4,963;1
5,435;6,007;4,957;1
4,019;5,713;4,257;1
4,23;4,826;5,063;1
4,829;4,305;5,587;1
3,064;5,06;5,842;1
3,711;5,303;4,318;1
5,442;3,868;5,03;1
5,827;4,235;5,255;1
6,132;5,897;4,264;1
5,089;5,946;5,497;1
6,413;4,68;6,441;1
4,496;6,447;5,094;1
5,356;5,324;4,464;1
5,115;4,998;3,188;1
4,96;4,373;5,837;1
4,397;5,249;4,867;1
3,621;4,382;4,051;1
3,803;4,534;5,46;1
4,875;4,748;5,141;1
5,014;4,753;4,167;1
4,831;3,996;3,664;1
4,102;5,409;4,365;1
3,646;5,385;4,883;1
3,605;6,048;5,723;1
6,281;4,373;5,165;1
5,3;4,763;5,527;1
4,146;4,618;4,011;1
3,791;3,91;7,014;1
6,32;5,35;5,324;1
5,445;5,512;6,003;1
4,927;5,196;3,48;1
4,525;5,263;5,948;1
5,109;4,559;4,827;1
4,329;3,285;4,83;1
6,429;4,605;4,799;1
4,124;4,009;5,647;1
6,005;5,245;5,289;1
5,084;6,191;5,538;1
5,098;4,99;5,303;1
3,663;5,349;4,554;1
4,626;5,577;4,705;1
5,016;5,587;5,367;1
6,797;4,085;4,596;1
3,481;4,895;5,305;1
5,8;4,045;4,94;1
4,903;5,418;5,163;1
4,212;4,153;4,969;1
5,721;4,977;5,437;1
4,979;4,801;5,551;1
5,011;5,294;4,36;1
4,775;5,402;5,176;1
5,587;5,091;3,112;1
6,282;5,062;5,415;1
5,188;4,645;5,103;1
5,726;5,189;4,22;1
5,351;4,602;4,331;1
5,164;5,509;6,817;1
4,439;5,571;5,503;1
4,463;4,389;4,758;1
4,129;5,178;4,999;1
6,881;4,358;4,235;1
4,028;4,152;5,507;1
4,058;5,628;5,095;1
4,981;4,102;4,804;1
4,533;4,684;6,019;1
5,329;5,835;5,964;1
3,581;5,114;4,22;1
4,674;5,953;6,269;1
4,175;5,623;3,976;1
4,777;5,215;6,689;1
5,596;3,793;5,286;1
4,755;5,652;4,667;1
4,775;4,768;5,668;1
5,642;6,114;4,68;1
4,329;4,738;4,676;1
5,443;4,99;4,25;1
3,908;5,615;4,431;1
6,045;5,537;6,385;1
5,424;3,833;5,314;1
4,982;5,242;4,366;1
5,507;6,136;6,118;1
7,311;4,481;5,992;1
4,898;6,207;5,955;1
4,097;5,331;5,634;1
4,954;4,691;6,244;1
5,818;4,643;4,715;1
3,95;4,54;5,34;1
5,702;5,104;2,896;1
5,191;7,221;6,552;1
5,189;4,028;5,142;1
4,355;4,636;4,684;1
5,092;5,371;4,481;1
5,073;4,605;3,13;1
5,354;4,673;5,548;1
5,16;4,939;5,515;1
4,753;5,261;6,217;1
5,279;3,889;4,386;1
3,477;4,281;4,087;1
5,362;4,314;4,558;1
4,388;4,131;4,23;1
5,773;5,958;5,199;1
5,277;4,615;5,384;1
4,147;5,537;4,864;1
5,327;4,867;5,054;1
5,394;5,398;5,719;1
5,973;5,378;5,787;1
6,509;5,801;2,879;1
5,055;5,24;5,368;1
3,197;5,852;5,237;1
5,921;5,466;5,644;1
4,567;3,786;3,47;1
4,933;5,392;3,049;1
5,741;4,75;5,846;1
5,321;3,552;5,625;1
5,188;3,395;5,318;1
4,04;4,884;5,458;1
4,958;3,797;5,251;1
4,042;4,253;5,079;1
6,271;6,124;5,249;1
5,441;5,496;5,199;1
5,968;3,946;4,832;1
5,901;4,93;6,298;1
4,797;4,835;4,695;1
5,098;5,806;5,658;1
4,829;5,801;5,72;1
6,044;2,654;6,489;1
5,009;5,305;5,317;1
5,927;3,534;5,875;1
5,475;5,356;5,19;1
5,245;5,895;5,628;1
3,889;3,872;4,294;1
5,708;6,169;4,516;1
4,483;5,789;5,973;1
4,637;4,024;5,017;1
4,486;5,027;4,562;1
3,948;4,466;5,326;1
4,959;4,572;4,424;1
6,367;4,816;5,072;1
4,653;6,06;3,784;1
6,14;4,662;5,621;1
3,952;4,536;5,166;1
4,763;3,637;5,369;1
5,161;5,012;5,293;1
4,986;5,404;5,855;1
5,19;4,801;5,365;1
5,736;5,271;4,401;1
4,544;6,097;4,153;1
5,582;4,572;5,157;1
5,824;6,071;4,821;1
5,524;5,543;5,855;1
5,786;5,717;5,606;1
6,135;6,042;5,433;1
3,588;4,225;5,767;1
5,39;5,707;4,74;1
3,562;5,67;5,213;1
6,308;4,78;3,589;1
4,62;3,792;5,406;1
5,731;5,639;4,966;1
6,317;5,292;3,984;1
4,714;5,134;4,488;1
5,534;5,02;5,311;1
4,193;5,462;4,426;1
5,058;3,468;5,307;1
5,536;6,053;5,686;1
5,474;5,827;5,272;1
5,198;5,164;6,347;1
5,555;6,114;5,646;1
5,788;5,395;5,273;1
4,474;4,443;5,289;1
4,117;5,043;5,629;1
4,896;5,554;5,596;1
5,757;5,445;3,794;1
4,627;4,699;3,728;1
4,806;4,536;4,178;1
5,267;4,767;3,843;1
5,449;4,242;5,412;1
4,175;3,988;5,136;1
6,071;3,955;4,748;1
5,564;6,145;5,149;1
3,798;4,236;4,932;1
5,468;5,249;4,266;1
4,595;6,232;5,052;1
5,186;5,035;5,506;1
5,54;5,524;5,528;1
5,053;5,467;5,025;1
5,202;6,623;4,994;1
5,083;5,595;2,856;1
5,332;4,333;4,498;1
4,708;5,149;4,455;1
5,066;4,508;5,47;1
5,664;4,916;7,03;1
4,551;6,164;4,93;1
3,95;5,218;4,367;1
4,689;4,974;4,441;1
5,009;4,851;4,822;1
4,791;4,29;5,243;1
4,608;5,694;4,572;1
4,383;4,425;4,372;1
5,931;5,529;4,098;1
4,997;3,761;5,774;1
5,8;6,122;5,349;1
5,994;5,063;5,072;1
4,307;4,785;5,969;1
5,825;5,312;3,968;1
5,345;5,652;4,839;1
5,609;5,915;5,281;1
5,187;4,459;5,046;1
5,069;6,383;5,134;1
4,525;5,925;4,915;1
5,629;4,552;5,185;1
5,129;4,524;5,075;1
5,947;4,646;4,972;1
4,984;4,29;5,698;1
5,132;3,505;6,152;1
5,545;3,909;5,309;1
4,191;5,37;3,669;1
4,553;5,234;5,331;1
3,067;4,224;5,565;1
4,968;5,058;5,633;1
4,62;3,771;4,655;1
5,323;6,237;3,953;1
5,552;4,606;5,028;1
4,593;6,043;5,053;1
5,077;3,575;5,079;1
5,278;5,829;4,587;1
5,452;5,319;7,037;1
4,125;6,014;5,315;1
5,867;5,016;4,94;1
4,78;3,926;5,401;1
4,802;4,913;5,204;1
5,829;4,568;4,512;1
4,344;5,655;4,996;1
5,749;5,845;4,308;1
4,996;4,944;5,294;1
4,402;5,103;4,556;1
5,658;5,018;5,428;1
5,883;5,196;6,105;1
6,781;7,161;5,432;1
4,845;6,249;5,232;1
5,534;4,458;5,666;1
4,741;5,214;6,066;1
4,973;4,342;4,053;1
3,723;4,75;5,407;1
2,995;5,341;5,877;1
5,474;5,135;5,605;1
3,628;4,84;5,214;1
4,488;5,627;4,129;1
5,197;6,592;4,123;1
4,966;6,107;5,808;1
5,716;3,788;5,481;1
3,548;5,77;5,559;1
5,031;5,638;5,028;1
5,184;5,828;6,823;1
4,956;5,057;7,846;1
5,595;3,821;5,019;1
5,575;5,584;5,573;1
4,979;5,412;5,325;1
4,918;4,493;5,028;1
4,832;3,645;6,303;1
5,106;5,818;4,734;1
3,567;4,287;4,966;1
5,854;4,356;4,749;1
4,442;5,272;5,008;1
5,774;4,908;4,894;1
4,987;5,421;4,752;1
4,956;5,255;3,353;1
4,955;4,699;4,794;1
4,946;4,962;4,49;1
4,992;5,544;5,869;1
4,616;4,646;4,933;1
4,783;4,45;4,859;1
4,042;4,864;5,996;1
5,594;6,052;5,298;1
4,035;4,814;5,06;1
4,6;5,078;5,018;1
6,246;4,498;4,958;1
6,072;4,031;5,807;1
3,794;4,039;5,68;1
4,865;5,818;4,296;1
5,232;4,696;4,238;1
3,491;4,822;5,828;1
5,373;5,761;4,15;1
4,991;4,285;4,691;1
5,985;5,354;5,058;1
3,263;5,647;4,859;1
3,623;4,11;6,324;1
6,1;5,004;4,712;1
4,226;5,787;4,317;1
5,275;5,236;5,379;1
5,499;5,221;4,496;1
6,194;6,229;5,587;1
4,893;5,283;6,423;1
4,092;4,219;5,549;1
3,713;3,52;4,726;1
5,148;5,145;4,284;1
4,274;5,272;4,903;1
5,832;4,433;5,653;1
4,328;5,357;4,425;1
4,701;4,119;3,467;1
4,686;4,994;4,091;1
6,248;4,783;3,796;1
5,679;4,262;5,392;1
3,718;4,657;5,775;1
3,925;4,702;5,631;1
4,988;5,854;4,47;1
4,835;5,127;5,036;1
5,412;5,876;4,56;1
5,408;4,832;4,981;1
4,804;4,867;5,728;1
5,743;5,147;5,091;1
5,052;4,413;5,941;1
5,265;4,858;5,157;1
6,405;3,951;5,949;1
4,212;5,233;5,463;1
5,162;5,364;4,916;1
5,602;5,696;4,623;1
4,042;5,824;4,641;1
4,792;4,325;5,196;1
4,271;4,58;5,474;1
5,392;5,353;4,527;1
4,745;4,138;4,441;1
5,537;4,109;4,054;1
5,083;6,203;5,073;1
4,852;7,187;5,102;1
5,358;5,305;4,677;1
5,054;5,045;4,76;1
6,463;5,837;4,734;1
5,937;5,374;5,555;1
5,752;4,577;5,484;1
4,928;4,557;6,07;1
5,455;4,845;5,305;1
5,883;5,028;4,533;1
4,458;4,293;5,209;1
4,852;4,764;6,905;1
6,345;4,535;4,139;1
5,906;5,234;5,084;1
5,289;4,896;4,521;1
5,097;3,898;5,086;1
5,18;4,741;3,64;1
5,608;5,53;5,268;1
4,351;5,292;4,184;1
3,38;7,302;5,661;1
4,616;5,082;4,635;1
5,092;5,022;3,102;1
8,317;8,429;9,871;2
9,965;9,378;8,962;2
9,346;9,579;8,611;2
9,41;8,513;8,435;2
9,245;8,045;10,324;2
9,351;9,066;10,499;2
8,646;7,987;9,097;2
8,376;9,489;8,551;2
8,741;9,55;9,632;2
8,241;8,183;9,489;2
8,237;9,442;9,385;2
9,61;8,35;8,079;2
9,325;9,899;10,514;2
9,731;8,927;10,837;2
8,62;8,928;8,302;2
10,247;9,07;8,933;2
9,389;9,804;9,878;2
8,24;8,989;9,232;2
9,364;8,33;8,072;2
9,82;8,987;8,801;2
10,374;7,966;9,917;2
7,544;8,206;9,339;2
9,597;9,747;9,106;2
10,223;8,097;6,869;2
8,872;6,627;7,87;2
8,168;9,02;8,299;2
8,437;8,607;8,836;2
9,091;8,466;7,857;2
9,218;8,554;9,34;2
8,971;9,711;8,398;2
9,19;8,503;8,805;2
10,275;8,713;8,679;2
9,392;8,33;10,206;2
9,105;8,889;11,563;2
8,217;8,411;10,825;2
8,297;9,97;8,452;2
8,594;8,866;8,927;2
9,27;8,428;8,935;2
8,4;8,767;9,942;2
8,452;9,781;8,684;2
9,629;10,366;9,638;2
10,157;9,493;8,617;2
8,819;9,087;9,467;2
7,489;9,745;8,995;2
8,158;9,85;7,743;2
10,086;9,463;9,245;2
7,714;9,732;9,041;2
9,808;9,996;8,674;2
9,134;10,003;9,231;2
9,578;9,572;8,962;2
8,139;9,187;9,196;2
8,831;8,053;8,762;2
8,701;7,734;9,344;2
8,652;8,376;8,014;2
9,223;10,184;7,932;2
7,427;8,386;9,011;2
11,117;10,208;8,305;2
8,662;8,634;10,217;2
10,645;9,308;7,131;2
9,592;10,164;7,994;2
9,339;7,51;9,494;2
9,491;7,671;10,191;2
9,478;9,299;7,938;2
10,128;9,324;7,779;2
8,936;9,75;8,881;2
9,011;8,669;7,903;2
8,178;10,216;8,953;2
9,703;9,684;7,244;2
9,498;9,029;8,8;2
9,006;8,665;8,932;2
9,948;8,881;7,198;2
9,485;9,065;9,155;2
9,716;9,173;8,305;2
8,866;9,023;8,598;2
8,669;8,515;9,504;2
7,113;8,949;9,549;2
8,711;8,124;10,566;2
7,432;8,404;7,97;2
8,994;10,051;9,251;2
8,953;8,422;9,189;2
8,115;10,126;10,067;2
9,483;7,994;9,737;2
8,384;9,977;7,166;2
9,333;8,872;8,055;2
9,281;7,819;8,324;2
9,708;8,11;7,724;2
9,126;8,181;9,403;2
10,094;11,345;8,464;2
9,43;10,621;9,906;2
9,009;9,005;9,468;2
9,44;8,101;8,163;2
8,318;8,929;8,842;2
9,824;9,366;8,588;2
7,739;8,697;8,76;2
7,293;10,262;8,545;2
8,436;7,923;8,872;2
8,833;7,548;9,1;2
8,877;9,927;8,849;2
8,783;9,063;9,076;2
9,499;8,843;9,888;2
9,37;8,925;8,314;2
8,545;8,598;9,42;2
9,263;8,543;8,694;2
8,728;8,723;7,569;2
8,398;8,562;9,417;2
8,296;8,524;8,15;2
9,473;8,633;9,294;2
8,914;8,205;7,912;2
9,56;8,862;8,558;2
8,644;8,341;8,3;2
8,546;8,785;7,656;2
8,925;8,155;9,675;2
7,875;9,185;7,206;2
8,577;9,232;10,871;2
8,131;8,996;7,695;2
9,261;8,09;8,86;2
9,666;7,662;10,476;2
7,281;9,628;9,22;2
7,752;9,187;6,988;2
8,698;8,016;9,87;2
8,078;10,503;9,121;2
6,621;9,353;9,211;2
9,423;8,766;8,847;2
8,978;8,396;9,096;2
8,216;9,814;7,721;2
8,267;8,26;7,172;2
9,674;7,117;8,844;2
8,38;8,795;8,715;2
8,076;10,102;9,532;2
8,593;7,85;8,603;2
9,293;8,596;8,089;2
9,112;8,695;8,254;2
9,337;8,715;9,439;2
10,305;10,118;8,234;2
8,196;8,331;8,598;2
11,038;9,404;8,378;2
9,656;7,747;9,028;2
8,414;9,361;8,516;2
8,361;9,545;8,675;2
6,934;9,14;10,209;2
8,812;11,212;9,179;2
8,435;9,107;8,305;2
9,718;10,452;10,563;2
6,844;9,399;8,798;2
9,221;7,989;8,334;2
8,205;8,962;8,778;2
8,582;7,856;9,227;2
9,255;10,12;9,525;2
8,093;9,334;9,405;2
10,714;9,626;10,455;2
8,426;9,21;9,231;2
9,799;8,69;9,54;2
8,188;8,708;9,795;2
9,352;10,168;7,523;2
8,435;8,585;8,287;2
7,631;8,659;8,576;2
9,277;9,484;9,416;2
7,733;8,864;8,604;2
9,487;7,485;8,39;2
9,616;7,493;10,362;2
9,431;9,13;8,594;2
8,439;9,618;10,227;2
10,871;8,73;8,317;2
7,916;8,719;10,519;2
7,724;10,344;10,126;2
10,347;9,528;9,719;2
10,613;8,905;7,978;2
8,335;9,388;9,775;2
8,378;9,039;9,568;2
7,343;8,144;10,204;2
8,872;9,392;8,613;2
8,169;10,11;8,642;2
8,647;8,874;7,432;2
9,119;8,555;7,898;2
10,438;9,761;9,711;2
7,15;7,581;9,013;2
9,944;8,904;8,094;2
8,203;9,543;8,302;2
9,506;8,366;8,273;2
8,345;8,587;8,702;2
9,417;8,165;8,578;2
7,927;9,119;7,988;2
8,889;10,345;8,52;2
8,74;10,543;8,839;2
10,213;8,299;9,329;2
9,246;9,485;8,448;2
8,694;8,567;8,657;2
9,087;8,61;8,036;2
9,366;9,145;9,162;2
8,435;8,836;10,299;2
8,937;8,065;8,928;2
8,261;9,401;8,053;2
9,642;8,437;9,244;2
9,774;8,694;8,855;2
8,343;8,096;8,96;2
7,537;9,082;7,631;2
9,428;9,623;9,533;2
7,885;9,092;8,602;2
9,489;8,386;7,712;2
8,263;7,818;9,319;2
7,089;8,662;9,516;2
10,117;7,575;8,117;2
8,912;9,687;9,504;2
10,25;9,146;8,284;2
8,88;10,007;8,161;2
8,528;9,09;8,485;2
10,414;9,914;8,906;2
9,204;8,102;9,093;2
9,029;8,635;9,465;2
10,289;9,076;9,519;2
9,951;8,157;8,488;2
9,978;8,607;9,227;2
7,912;9,539;9,133;2
9,25;9,209;7,717;2
8,762;8,944;8,864;2
8,602;8,373;8,92;2
9,402;8,342;9,528;2
10,384;9,796;9,989;2
8,552;9,574;9,525;2
7,299;8,802;8,546;2
9,16;8,776;10,386;2
9,421;10,352;10,916;2
9,982;10,124;8,263;2
8,672;10,375;8,629;2
9,748;8,848;9,931;2
7,764;7,903;8,899;2
8,746;6,713;8,923;2
9,391;9,094;8,482;2
9,92;9,807;9,018;2
9,07;7,256;8,272;2
9,676;8,229;8,528;2
10,016;8,125;8,712;2
7,353;8,384;9,852;2
8,691;8,387;10,37;2
9,071;7,74;9,051;2
10,145;8,835;8,419;2
9,01;9,803;10,505;2
7,398;9,025;9,181;2
8,965;8,333;8,984;2
8,996;8,301;10,026;2
8,901;9,579;8,951;2
8,402;8,779;10,058;2
9,073;8,849;9,487;2
8,598;9,311;7,042;2
10,22;10,706;8,194;2
9,036;9,939;9,788;2
7,337;8,656;9,533;2
8,287;8,6;10,8;2
9,187;7,917;8,671;2
10,137;9,37;8,42;2
9,188;7,9;8,869;2
8,822;9,605;10,688;2
9,685;9,615;8,979;2
8,497;7,529;7,958;2
9,328;10,648;9,816;2
8,56;10,072;9,988;2
9,722;10,227;8,339;2
7,872;8,164;10,042;2
9,595;8,526;9,293;2
8,703;9,604;9,468;2
9,274;8,643;7,947;2
7,869;8,991;8,864;2
8,56;8,323;7,236;2
9,184;9,433;8,708;2
8,89;8,53;8,593;2
8,623;9,112;8,303;2
9,425;9,365;9,948;2
10,05;9,254;8,371;2
9,326;9,157;8,149;2
9,417;8,593;8,113;2
7,611;7,746;9,469;2
8,503;10,654;9,729;2
8,803;8,42;10,339;2
9,362;8,717;8,314;2
9,476;9,937;8,839;2
7,625;9,675;10,33;2
9,867;10,15;9,491;2
8,236;9,021;9,411;2
9,092;10,736;6,826;2
8,05;9,004;8,828;2
8,964;9,398;8,696;2
9,047;10,274;10,014;2
9,48;9,072;9,182;2
9,438;9,542;10,882;2
8,222;8,739;9,6;2
9,414;9,977;8,677;2
8,541;9,273;9,408;2
9,905;7,836;8,71;2
9,111;8,173;9,34;2
8,34;8,484;9,46;2
